virksomhet,status,navn,kostnadsramme_2026,aar_ferdig,sluttkostnad,stat_doc,annen_finansiering,landsdel_doc,merknad
Statens vegvesen,Ferdig,E39 Hjartåberga,1031.0,2014.0,1018.0,1018.0,,Vestlandet,
Statens vegvesen,Ferdig,Rv. 70 Oppdølstranda,1807.0,2014.0,1574.0,1574.0,,Vestlandet,
Statens vegvesen,Ferdig,E18 Melleby–Momarken,1907.0,2014.0,2078.0,1746.0,333.0,Østlandet,
Statens vegvesen,Ferdig,Rv. 7 Sokna–Ørgenvika,3213.0,2014.0,2736.0,1296.0,1440.0,Østlandet,
Statens vegvesen,Ferdig,Rv. 2 Kongsvinger–Slomarka,3539.0,2014.0,3893.0,1635.0,2258.0,Østlandet,
Statens vegvesen,Ferdig,E18 Gulli–Langåker,5221.0,2014.0,5172.0,1545.0,3627.0,Østlandet,
Statens vegvesen,Ferdig,E16 Smedalsosen–Maristova–Borlaug,1681.0,2014.0,1167.0,1167.0,,Vestlandet/Østlandet,
Statens vegvesen,Ferdig,E10 Solbjørnneset–Hamnøy,1106.0,2014.0,1347.0,1347.0,,Nord-Norge,
Statens vegvesen,Ferdig,E18 Bjørvika,10408.0,2015.0,11609.0,4556.0,7053.0,Østlandet,
Statens vegvesen,Ferdig,E6 Minnesund–Skaberud,9785.0,2015.0,10051.0,2779.0,7272.0,Østlandet,
Statens vegvesen,Ferdig,E18 Sydhavna,1047.0,2015.0,1064.0,250.0,814.0,Østlandet,
Statens vegvesen,Ferdig,E136 Tresfjordbrua og Vågstrandstunnelen,2531.0,2015.0,2731.0,1393.0,1338.0,Vestlandet,
Statens vegvesen,Ferdig,E6 Halselv–Møllnes,1622.0,2016.0,1380.0,1380.0,,Nord-Norge,
Statens vegvesen,Ferdig,E18 Knapstad–Retvet,2391.0,2016.0,2460.0,1308.0,1152.0,Østlandet,
Statens vegvesen,Ferdig,E6 Frya–Sjoa (Ringebu–Otta),8216.0,2016.0,10043.0,5737.0,4306.0,Østlandet,
Statens vegvesen,Ferdig,Rv. 4 Lunner grense–Jaren og Lynga sør,3531.0,2017.0,4558.0,2287.0,2271.0,Østlandet,
Statens vegvesen,Ferdig,E18 Riksgrensen–Ørje,1289.0,2017.0,1468.0,847.0,621.0,Østlandet,
Statens vegvesen,Ferdig,E39 Hove–Sandved,-898.0,2017.0,1145.0,450.0,694.0,Vestlandet,Kostnadsramme «-898» gjengitt slik den står i dokumentet (sannsynlig feil)
Statens vegvesen,Ferdig,E16 Varpe bru–Otrøsosen–Smedalsosen,2779.0,2017.0,2220.0,2220.0,,Østlandet,
Statens vegvesen,Ferdig,E6 Indre Nordnes–Skardalen,1924.0,2017.0,1609.0,1609.0,,Nord-Norge,
Statens vegvesen,Ferdig,E105 Elvenes–Hesseng,1099.0,2017.0,1099.0,1099.0,0.0,Nord-Norge,
Statens vegvesen,Ferdig,E6 Sørkjosfjellet,1538.0,2018.0,1430.0,1430.0,0.0,Nord-Norge,
Statens vegvesen,Ferdig,E6 Hålogalandsbrua inkl Trældal–Leirvik,5349.0,2018.0,5874.0,4226.0,1648.0,Nord-Norge,
Statens vegvesen,Ferdig,E18 Bommestad–Sky,7774.0,2018.0,7044.0,1795.0,5248.0,Østlandet,
Statens vegvesen,Ferdig,Rv. 36 Skyggestein–Skjelbredstrand,943.0,2018.0,1034.0,1034.0,,Østlandet,
Statens vegvesen,Ferdig,Rv. 110 Simo–Ørebekk,1182.0,2019.0,1476.0,915.0,561.0,Østlandet,
Statens vegvesen,Ferdig,E134 Gvammen–Århus,3578.0,2019.0,3310.0,3310.0,,Østlandet,
Statens vegvesen,Ferdig,E6 Helgeland nord,2892.0,2019.0,3293.0,2684.0,608.0,Nord-Norge,
Statens vegvesen,Ferdig,E6 Jaktøya–Klett–Sentervegen,4332.0,2019.0,3839.0,1427.0,2412.0,Trøndelag,
Statens vegvesen,Ferdig,Rv. 80 Hunstadmoen–Thallekrysset,3802.0,2019.0,3577.0,923.0,2654.0,Nord-Norge,
Statens vegvesen,Ferdig,E39 Bjørset–Skei,1263.0,2019.0,1053.0,1053.0,,Vestlandet,
Statens vegvesen,Ferdig,"E6 Tømmernes-, Forså-, Fagernes-, Larsberg-, Skardal- og Isfjelltunnelene",1272.0,2019.0,1167.0,1167.0,,Nord-Norge,
Statens vegvesen,Ferdig,E6 Ekeberg- og Svardalstunnelene,991.0,2019.0,1085.0,1085.0,,Østlandet,
Statens vegvesen,Ferdig,E16 Bagn–Bjørgo,2467.0,2019.0,2080.0,1310.0,770.0,Østlandet,
Statens vegvesen,Ferdig,E16 Sandvika–Wøyen,6680.0,2019.0,5468.0,1356.0,4111.0,Østlandet,
Statens vegvesen,Ferdig,E16 Øye–Eidsbru,1142.0,2020.0,1181.0,1181.0,,Østlandet,
Statens vegvesen,Ferdig,Rv. 13 Ryfast,11342.0,2020.0,11709.0,2653.0,9056.0,Vestlandet,
Statens vegvesen,Ferdig,E134 Damåsen–Saggrenda,7457.0,2020.0,6674.0,2870.0,3803.0,Østlandet,
Statens vegvesen,Ferdig,E6 Vindåsliene–Korporalsbrua,2728.0,2020.0,2244.0,1225.0,1019.0,Trøndelag,
Statens vegvesen,Ferdig,E39 Eiganestunnelen,3695.0,2020.0,5553.0,3917.0,1636.0,Vestlandet,
Statens vegvesen,Ferdig,E18 Varoddbrua,1559.0,2021.0,1419.0,1419.0,,Sørlandet,
Statens vegvesen,Ferdig,E69 Skarvbergtunnelen,1302.0,2022.0,1777.0,1777.0,,Nord-Norge,
Statens vegvesen,Ferdig,E39 Svegatjørn–Rådal,11185.0,2022.0,12177.0,7772.0,4405.0,Vestlandet,
Statens vegvesen,Ferdig,E16 Eggemoen–Jevnaker–Olum,4363.0,2022.0,3822.0,1618.0,2204.0,Østlandet,
Statens vegvesen,Ferdig,E6 Bognes–Skarberget og rv. 827 Drag–Kjøpsvik,1280.0,2022.0,1052.0,1052.0,,Nord-Norge,
Statens vegvesen,Ferdig,Rv. 3/rv. 25 Ommangsvollen–Grundset/Basthjørnet,,2022.0,7689.0,2637.0,5052.0,Østlandet,Kostnadsramme ikke oppgitt i dokumentet
Statens vegvesen,Ferdig,Rv. 5 Kjøsnesfjorden,1844.0,2022.0,1307.0,1307.0,,Vestlandet,
Statens vegvesen,Ferdig,E16 Gudvanga- og Flenjatunnelene,1318.0,2023.0,1281.0,1281.0,,Vestlandet,
Statens vegvesen,Ferdig,Rv. 706 Nydalsbrua med tilknytingar,1903.0,2023.0,1880.0,855.0,1025.0,Trøndelag,
Statens vegvesen,Ferdig,E39 Kristianborg–Bergen sentrum (Sykkelstamveien),1413.0,2024.0,1417.0,1417.0,,Vestlandet,
Statens vegvesen,Ferdig,"E39 Sykkelstamveien, Sørmarka–Smeaheia",1607.0,2024.0,1184.0,1184.0,,Vestlandet,
Statens vegvesen,Ferdig,E39 Lønset–Hjelset,1957.0,2024.0,1749.0,780.0,969.0,Vestlandet,
Statens vegvesen,Ferdig,E16 Bjørum–Skaret,6886.0,2025.0,6331.0,3356.0,2975.0,Østlandet,
Statens vegvesen,Ferdig,"Rv. 4 Roa–Gran, inkl. Jaren–Amundrund/Almenningseidet–Lygnebakken",2950.0,2025.0,2681.0,950.0,1730.0,Østlandet,
Statens vegvesen,Ferdig,"E16 Dalevåg-, Dalseid-, Trollkone-, Hernes- og Hyvingtunnelene",1272.0,2025.0,838.0,837.0,,Vestlandet,
Statens vegvesen,Ferdig,E6 Helgeland sør,6807.0,2025.0,7742.0,6849.0,893.0,Nord-Norge,
Statens vegvesen,Under bygging,E39 Betna–Vinjeøra–Stormyra,3404.0,2026.0,,3242.0,,Trøndelag,
Statens vegvesen,Under bygging,E8 Sørbotn–Laukslett,3999.0,,,3718.0,,Nord-Norge,
Statens vegvesen,Under bygging,E136 Breivika–Lerstad,3186.0,,,617.0,2168.0,Vestlandet,
Statens vegvesen,Under bygging,Ring 1 Hammersborgtunnelen,3666.0,,,3492.0,,Østlandet,"I regi av SVV i samarbeid med Statsbygg, finansiert over DFD-budsjettet"
Statens vegvesen,Under bygging,Rv. 555 Sotrasambandet (OPS),24110.0,,,16093.0,8017.0,Vestlandet,OPS – vedtatt øvre ramme inkl. drift/vedlikehold
Statens vegvesen,Under bygging,E18/E39 Gartnerløkka–Kolsdalen,6128.0,,,2620.0,2826.0,Sørlandet,
Statens vegvesen,Under bygging,E18 Lysaker–Ramstadsletta,24123.0,,,6527.0,14973.0,Østlandet,
Statens vegvesen,Under bygging,E10/rv. 85 Tjeldsund–Gullesfjordbotn–Langvassbukt (OPS),23498.0,,,21893.0,1605.0,Nord-Norge,OPS – vedtatt øvre ramme inkl. drift/vedlikehold
Statens vegvesen,Under bygging,Rv. 555 Damsgård-/Nygårdtunnelene,1304.0,,,1215.0,,Vestlandet,
Statens vegvesen,Under bygging,Rv. 70 Vikansvingen–Kontrollplassen,1457.0,,,22.0,1229.0,Vestlandet,
Statens vegvesen,Under bygging,Rv. 13 Lovraeidet–Rødsliane,1608.0,,,1506.0,,Vestlandet,
Statens vegvesen,Under bygging,E45 Kløfta,2103.0,,,1874.0,,Nord-Norge,
Statens vegvesen,Under bygging,E134 Røldal–Seljestad,5018.0,,,4140.0,703.0,Vestlandet,
Statens vegvesen,Under bygging,E16 Lærdalstunnelen,2958.0,,,2671.0,,Vestlandet,
Statens vegvesen,Under bygging,E6 Megården–Sommerset,7421.0,,,7205.0,,Nord-Norge,
Statens vegvesen,Under bygging,E39 Rogfast,28171.0,,,11334.0,16965.0,Vestlandet,
Statens vegvesen,Under bygging,"E134 Oslofjordforbindelsen, trinn 2",8104.0,,,2713.0,5374.0,Østlandet,
Statens vegvesen,Under bygging,Fellesprosjektet Vossebanen/E16 Arna–Stanghelle,50373.0,,,37749.0,4303.0,Vestlandet,
Nye Veier AS,Ferdig,E18 Tvedestrand–Arendal,8942.0,2019.0,,,2709.0,Sørlandet,Kostnadsramme = avtalt vederlag mellom selskapet og SD
Nye Veier AS,Ferdig,E6 Kolomoen–Moelv,14468.0,2020.0,,,5784.0,Østlandet,Kostnadsramme = avtalt vederlag mellom selskapet og SD
Nye Veier AS,Ferdig,E6 Kvænangsfjellet,2735.0,2024.0,,,,Nord-Norge,Kostnadsramme = avtalt vederlag mellom selskapet og SD
Nye Veier AS,Under bygging,E18 Langangen–Bamble,9546.0,,,,4420.0,Sørlandet,Maksimalt bompengebidrag oppgitt
Nye Veier AS,Under bygging,E39 Kristiansand vest–Lyngdal vest,33581.0,,,,11291.0,Sørlandet,Maksimalt bompengebidrag oppgitt
Nye Veier AS,Under bygging,E6 Moelv–Øyer,24607.0,,,,8428.0,Østlandet,Maksimalt bompengebidrag oppgitt
Nye Veier AS,Under bygging,E6 Nedgård (Ulsberg)–Melhus,23807.0,,,,8825.0,Trøndelag,Maksimalt bompengebidrag oppgitt
Nye Veier AS,Under bygging,E6 Ranheim–Åsen,19268.0,,,,9539.0,Trøndelag,Maksimalt bompengebidrag oppgitt
Bane NOR SF,Ferdig,Dobbeltspor Langset–Kleverud,5406.0,2015.0,4219.0,,,Østlandet,Beløp i mill. 2019-kroner
Bane NOR SF,Ferdig,Holm–Holmestrand–Nykirke,6663.0,2016.0,6443.0,,,Østlandet,Beløp i mill. 2019-kroner
Bane NOR SF,Ferdig,Dobbeltspor Farriseidet–Porsgrunn,7575.0,2018.0,7448.0,,,Østlandet,Beløp i mill. 2019-kroner
Bane NOR SF,Ferdig,Follobanen,37535.0,2023.0,37470.0,,,Østlandet,
Bane NOR SF,Ferdig,Venjar–Eidsvoll–Langset,7898.0,2024.0,6202.0,,,Østlandet,
Bane NOR SF,Ferdig,Arna–Fløen,5018.0,2024.0,4744.0,,,Vestlandet,
Bane NOR SF,Ferdig,Fløen–Bergen/Nygårdstangen,4910.0,2024.0,3136.0,,,Vestlandet,
Bane NOR SF,Ferdig,Delelektrifisering Trønder- og Meråkerbanen,2727.0,2025.0,2394.0,,,Trøndelag,
Bane NOR SF,Ferdig,Drammen–Kobbervikdalen,18087.0,2025.0,13095.0,,,Østlandet,
Bane NOR SF,Under bygging,ERTMS,38220.0,,,,,Hele landet,
Bane NOR SF,Under bygging,Kolbotn stasjon,1600.0,,,,,Østlandet,Kostnadsramme økt til ca. 1 600 mill. 2026-kr (jf. Innst. 75 S 2025–2026)
Bane NOR SF,Under bygging,Sandbukta–Moss–Såstad,28519.0,,,,,Østlandet,
Bane NOR SF,Under bygging,Kleverud–Sørli,11190.0,,,,,Østlandet,
Bane NOR SF,Under bygging,Sørli–Åkersvika,9659.0,,,,,Østlandet,
Bane NOR SF,Under bygging,Barkåker–Tønsberg,1984.0,,,,,Østlandet,
Bane NOR SF,Under bygging,Nykirke–Barkåker,9069.0,,,,,Østlandet,
Avinor AS,Under bygging,Ny lufthavn ved Mo i Rana,5112.0,,,3902.0,1210.0,Nord-Norge,
Avinor AS,Under bygging,Flytting av Bodø lufthavn,8108.0,,,4917.0,3191.0,Nord-Norge,
