,ØST,VEST,NORD,MIDT,SØR,TOTAL
2005,520.6,0.0,0.0,0.0,0.0,520.6
2006,1186.3,1147.5,0.0,0.0,0.0,2333.8
2007,3786.2,1147.5,0.0,0.0,313.0,5246.7
2008,4465.1,1147.5,0.0,0.0,1566.0,7178.6
2009,4630.1,1623.5,0.0,442.3,1566.0,8262.0
2010,3179.0,476.0,74.8,620.5,0.0,4350.3
2011,5912.6,1022.2,478.6,626.5,0.0,8040.0
2012,9432.2,1546.9,1181.3,296.2,0.0,12456.6
2013,9124.4,1485.9,1228.3,178.2,0.0,12016.9
2014,16524.1,2293.1,1505.0,178.2,0.0,20500.4
2015,18110.1,2472.6,2685.3,0.0,0.0,23268.0
2016,13847.6,1973.7,3284.3,0.0,0.0,19105.6
2017,10276.2,2792.1,3868.7,0.0,555.5,17492.4
2018,13358.1,5133.2,3292.4,467.2,3264.5,25515.4
2019,21794.6,5716.1,2979.4,1436.8,3264.5,35191.4
2020,20761.0,5609.2,2116.1,1551.1,283.8,30321.3
2021,17848.6,3451.5,2116.1,965.1,283.8,24665.1
2022,20811.2,3964.5,2887.5,1350.1,0.0,29013.4
2023,19631.1,2458.3,5116.6,2529.7,1624.8,31360.6
2024,16856.1,2696.6,5936.1,2949.0,2583.2,31021.1
2025,16517.0,4160.3,6233.3,3785.1,2583.2,33278.9
2026,14781.7,5059.4,6299.7,3952.4,3160.9,33254.1
2027,11614.2,6070.6,6299.7,3466.1,3263.9,30714.5
2028,5240.8,5867.8,4775.7,3466.1,3263.9,22614.3
2029,2851.9,5491.3,1879.6,3466.1,3263.9,16952.9
2030,2869.2,5491.3,1060.1,3466.1,2583.2,15469.9
2031,898.6,4699.2,1060.1,1482.2,2583.2,10723.2
2032,898.6,6348.1,0.0,0.0,0.0,7246.6
2033,898.6,6348.1,0.0,0.0,0.0,7246.6
2034,0.0,4579.4,0.0,0.0,0.0,4579.4
2035,0.0,4579.4,0.0,0.0,0.0,4579.4
2036,0.0,4579.4,0.0,0.0,0.0,4579.4
2037,0.0,4579.4,0.0,0.0,0.0,4579.4
2038,0.0,4579.4,0.0,0.0,0.0,4579.4
2039,0.0,2198.1,0.0,0.0,0.0,2198.1
