virksomhet,status,navn,kostnadsramme_2026,aar_ferdig,sluttkostnad,stat_doc,annen_finansiering,landsdel_doc,merknad,merknad2,landsdel,Faktor 2019-2026,MVA justering,stat
Statens vegvesen,Ferdig,E39 Hjartåberga,1031,2014,1018,1018,,Vestlandet,,,Vestlandet,1,1,1018
Statens vegvesen,Ferdig,Rv. 70 Oppdølstranda,1807,2014,1574,1574,,Vestlandet,,,Vestlandet,1,1,1574
Statens vegvesen,Ferdig,E18 Melleby–Momarken,1907,2014,2078,1746,333,Østlandet,,,Østlandet,1,1,1746
Statens vegvesen,Ferdig,Rv. 7 Sokna–Ørgenvika,3213,2014,2736,1296,1440,Østlandet,,,Østlandet,1,1,1296
Statens vegvesen,Ferdig,Rv. 2 Kongsvinger–Slomarka,3539,2014,3893,1635,2258,Østlandet,,,Østlandet,1,1,1635
Statens vegvesen,Ferdig,E18 Gulli–Langåker,5221,2014,5172,1545,3627,Østlandet,,,Østlandet,1,1,1545
Statens vegvesen,Ferdig,E16 Smedalsosen–Maristova–Borlaug,1681,2014,1167,1167,,Vestlandet/Østlandet,,Ligger I all hovedsak Vestlandet,Vestlandet,1,1,1167
Statens vegvesen,Ferdig,E10 Solbjørnneset–Hamnøy,1106,2014,1347,1347,,Nord-Norge,,,Nord-Norge,1,1,1347
Statens vegvesen,Ferdig,E18 Bjørvika,10408,2015,11609,4556,7053,Østlandet,,,Østlandet,1,1,4556
Statens vegvesen,Ferdig,E6 Minnesund–Skaberud,9785,2015,10051,2779,7272,Østlandet,,,Østlandet,1,1,2779
Statens vegvesen,Ferdig,E18 Sydhavna,1047,2015,1064,250,814,Østlandet,,,Østlandet,1,1,250
Statens vegvesen,Ferdig,E136 Tresfjordbrua og Vågstrandstunnelen,2531,2015,2731,1393,1338,Vestlandet,,,Vestlandet,1,1,1393
Statens vegvesen,Ferdig,E6 Halselv–Møllnes,1622,2016,1380,1380,,Nord-Norge,,,Nord-Norge,1,1,1380
Statens vegvesen,Ferdig,E18 Knapstad–Retvet,2391,2016,2460,1308,1152,Østlandet,,,Østlandet,1,1,1308
Statens vegvesen,Ferdig,E6 Frya–Sjoa (Ringebu–Otta),8216,2016,10043,5737,4306,Østlandet,,,Østlandet,1,1,5737
Statens vegvesen,Ferdig,Rv. 4 Lunner grense–Jaren og Lynga sør,3531,2017,4558,2287,2271,Østlandet,,,Østlandet,1,1,2287
Statens vegvesen,Ferdig,E18 Riksgrensen–Ørje,1289,2017,1468,847,621,Østlandet,,,Østlandet,1,1,847
Statens vegvesen,Ferdig,E39 Hove–Sandved,-898,2017,1145,450,694,Vestlandet,Kostnadsramme «-898» gjengitt slik den står i dokumentet (sannsynlig feil),,Vestlandet,1,1,450
Statens vegvesen,Ferdig,E16 Varpe bru–Otrøsosen–Smedalsosen,2779,2017,2220,2220,,Østlandet,,,Østlandet,1,1,2220
Statens vegvesen,Ferdig,E6 Indre Nordnes–Skardalen,1924,2017,1609,1609,,Nord-Norge,,,Nord-Norge,1,1,1609
