virksomhet,status,navn,landsdel,fylke,vedtak_aar,oppstart_aar,aar_ferdig,anleggsperiode,total_2026kr,statlig_andel,statlig_2026kr,kilde,kommentar
SVV,Ferdig,E18 Momarken-Sekkelsten,ØST,Østfold,2005.0,2005,2007,2,1183.0,0.5,591.5,svv_pre2014,
SVV,Ferdig,Rv. 2 Kløfta-Nybakk,ØST,Akershus,2005.0,2005,2007,2,1404.0,0.4,561.6,svv_pre2014,
SVV,Ferdig,E6 Svingenskogen-Åsgård,ØST,Akershus,2005.0,2006,2008,2,4654.0,0.25,1163.5,svv_pre2014,
SVV,Ferdig,E18 Frydenhaug-Eik,ØST,Buskerud,2005.0,2006,2009,3,1496.0,1.0,1496.0,svv_pre2014,
SVV,Ferdig,Rv. 13/rv. 7 Hardangerbrua,VEST,Vestland,2005.0,2006,2013,7,4147.0,0.1,414.7,svv_pre2014,
SVV,Ferdig,E18 Bjørvika,ØST,Oslo,2005.0,2006,2015,9,11609.0,0.39,4556.0,pluss,
SVV,Ferdig,E18 Langåker-Bommestad,ØST,Vestfold,2006.0,2007,2009,2,2250.0,0.15,337.5,svv_pre2014,
SVV,Ferdig,E6 Vinterbro-Asssurtjern,ØST,Akershus,2006.0,2007,2009,2,2339.0,1.0,2339.0,svv_pre2014,
SVV,Ferdig,E6 Gardermoen(Hovinmoen)-Dal og Skaberud-Kolomoen,ØST,Akershus / Innlandet,2007.0,2007,2009,2,3004.0,0.33,991.32,svv_pre2014,
SVV,Ferdig,Rv. 80 Røvika-Strømsnes,NORD,Nordland,2007.0,2008,2011,3,933.0,0.33,307.89,svv_pre2014,
SVV,Ferdig,Rv. 150 Ulvensplitten-Sinsen (revidert prosjekt),ØST,Oslo,2007.0,2008,2013,5,6219.0,0.5,3109.5,svv_pre2014,
SVV,Ferdig,E6 Dal-Minnesund inkl Skaberudkrysset,ØST,Akershus,2009.0,2009,2011,2,4079.0,0.34,1386.86,svv_pre2014,
SVV,Ferdig,E39 Kvivsvegen,VEST,Møre og Romsdal / Vestland,2008.0,2009,2012,3,1904.0,1.0,1904.0,svv_pre2014,
SVV,Ferdig,E6 Øyer-Tretten,ØST,Innlandet,2009.0,2010,2012,2,2489.0,0.48,1194.72,svv_pre2014,
SVV,Ferdig,E18 Sky-Langangen,ØST,Vestfold,2009.0,2010,2012,2,3330.0,0.33,1098.9,svv_pre2014,
SVV,Ferdig,Rv 706 Sluppen-Stavne (Dorthealyst-Stavne),MIDT,Trøndelag,2011.0,2010,2012,2,354.0,0.35,123.9,svv_pre2014,usikker statlig andel
SVV,Ferdig,E6 Nidelv bru-Grillstad (parsell på E6 Værnes-Trondheim),MIDT,,2009.0,2010,2014,4,,,891.0,pluss,Denne var uteglemt i opprinnelig regneark!
BANE,Ferdig,Holm–Holmestrand–Nykirke,ØST,,2009.0,2010,2016,6,,,11114.175,pluss,
SVV,Ferdig,E6 Møllnes-Kvenvik-Hjemmeluft,NORD,Finnmark,2010.0,2011,2013,2,1339.0,0.85,1138.15,svv_pre2014,
SVV,Ferdig,Rv. 80 Løding-Vikan,NORD,Nordland,2010.0,2011,2013,2,999.0,0.62,619.38,svv_pre2014,
SVV,Ferdig,E39 Hjartåberga,VEST,Rogaland,2010.0,2011,2014,3,1018.0,1.0,1018.0,pluss,
SVV,Ferdig,Rv. 7 Sokna–Ørgenvika,ØST,Buskerud,2010.0,2011,2014,3,2736.0,0.47,1296.0,pluss,
SVV,Ferdig,E18 Gulli–Langåker,ØST,Vestfold,2010.0,2011,2014,3,5172.0,0.3,1545.0,pluss,
SVV,Ferdig,E16 Smedalsosen–Maristova–Borlaug,VEST,Vestland,2010.0,2011,2014,3,1167.0,1.0,1167.0,pluss,
SVV,Ferdig,Rv. 70 Oppdølstranda,VEST,Møre og Romsdal,2011.0,2012,2014,2,1574.0,1.0,1574.0,pluss,
SVV,Ferdig,E18 Melleby–Momarken,ØST,Østfold,2011.0,2012,2014,2,2078.0,0.84,1746.0,pluss,
SVV,Ferdig,Rv. 2 Kongsvinger–Slomarka,ØST,Innlandet,2011.0,2012,2014,2,3893.0,0.42,1635.0,pluss,
SVV,Ferdig,E10 Solbjørnneset–Hamnøy,NORD,Nordland,2011.0,2012,2014,2,1347.0,1.0,1347.0,pluss,
SVV,Ferdig,E6 Minnesund–Skaberud,ØST,Akershus / Innlandet,2011.0,2012,2015,3,10051.0,0.28,2779.0,pluss,
SVV,Ferdig,E18 Sydhavna,ØST,Oslo,2011.0,2012,2015,3,1064.0,0.24,250.0,pluss,
BANE,Ferdig,Dobbeltspor Langset–Kleverud,ØST,,2011.0,2012,2015,3,,,7277.775,pluss,
BANE,Ferdig,Dobbeltspor Farriseidet–Porsgrunn,ØST,,2009.0,2012,2018,6,,,12847.8,pluss,
SVV,Ferdig,E136 Tresfjordbrua og Vågstrandstunnelen,VEST,Møre og Romsdal,2012.0,2013,2015,2,2731.0,0.51,1393.0,pluss,
SVV,Ferdig,E6 Frya–Sjoa (Ringebu–Otta),ØST,Innlandet,2012.0,2013,2016,3,10043.0,0.57,5737.0,pluss,
SVV,Ferdig,Rv. 4 Lunner grense–Jaren og Lynga sør,ØST,Innlandet,2012.0,2013,2017,4,4558.0,0.5,2287.0,pluss,
SVV,Ferdig,E6 Hålogalandsbrua inkl Trældal–Leirvik,NORD,Nordland,2012.0,2013,2018,5,5874.0,0.72,4226.0,pluss,
SVV,Ferdig,Rv. 13 Ryfast,VEST,Rogaland,2012.0,2013,2020,7,11709.0,0.23,2653.0,pluss,
SVV,Ferdig,E39 Eiganestunnelen,VEST,Rogaland,2012.0,2013,2020,7,5553.0,0.71,3917.0,pluss,
SVV,Ferdig,E6 Halselv–Møllnes,NORD,Finnmark,2013.0,2014,2016,2,1380.0,1.0,1380.0,pluss,
SVV,Ferdig,E18 Knapstad–Retvet,ØST,Østfold / Akershus,2013.0,2014,2016,2,2460.0,0.53,1308.0,pluss,
SVV,Ferdig,E18 Riksgrensen–Ørje,ØST,Østfold,2013.0,2014,2017,3,1468.0,0.58,847.0,pluss,
SVV,Ferdig,E39 Hove–Sandved,VEST,Rogaland,2013.0,2014,2017,3,1145.0,0.39,450.0,pluss,
SVV,Ferdig,E16 Varpe bru–Otrøsosen–Smedalsosen,ØST,Vestland,2013.0,2014,2017,3,888.0,1.0,1332.0,pluss,
SVV,Ferdig,E16 Varpe bru–Otrøsosen–Smedalsosen,VEST,Vestland,2013.0,2014,2017,3,888.0,1.0,888.0,pluss,
SVV,Ferdig,E6 Sørkjosfjellet,NORD,Troms,2013.0,2014,2018,4,1430.0,1.0,1430.0,pluss,
SVV,Ferdig,E18 Bommestad–Sky,ØST,Vestfold,2013.0,2014,2018,4,7044.0,0.25,1795.0,pluss,
SVV,Ferdig,E134 Gvammen–Århus,ØST,Telemark,2013.0,2014,2019,5,3310.0,1.0,3310.0,pluss,
