,ØST,VEST,NORD,MIDT,SØR,TOTAL,VEST_pct
2005–07,5493.1,2295.0,0.0,0.0,313.0,8101.1,28.3
2008–10,12274.2,3247.0,74.8,1062.9,3132.0,19790.9,16.4
2011–13,24469.2,4055.1,2888.2,1100.9,0.0,32513.4,12.5
2014–16,48481.8,6739.4,7474.5,178.2,0.0,62873.9,10.7
2017–19,45429.0,13641.4,10140.5,1904.0,7084.4,78199.29999999999,17.4
2020–22,59420.9,13025.1,7119.8,3866.4,567.6,83999.8,15.5
2023–25,53004.3,9315.3,17286.0,9263.9,6791.1,95660.6,9.7
2026–28,31636.7,16997.8,17375.2,10884.5,9688.7,86582.9,19.6
2029–31,6619.7,15681.9,3999.9,8414.3,8430.2,43146.0,36.3
2032–34,1797.1,17275.5,0.0,0.0,0.0,19072.6,90.6
2035–37,0.0,13738.1,0.0,0.0,0.0,13738.1,100.0
2038–39,0.0,6777.5,0.0,0.0,0.0,6777.5,100.0
