Sektor,Korr.,Fylke,Tiltak,Kategori,Stat_22–27,Stat_28–33,Bom_andre_22–33
Jbane,0,Viken,Plattform- og stasjonstiltak Ski–Stabekk og Spikkestad–Lillestrøm,Tiltak for referanse2,946,,
Jbane,0,Flere,Banestrømstiltak på Østlandet,Tiltak for referanse2,971,,
Jbane,1,Viken,Follobanen,Binding,4720,,
Jbane,1,Viken,Dobbeltspor Sandbukta–Moss–Såstad,Binding,8724,,
Jbane,1,Viken,Togparkering sør for Moss,Tiltak for referanse2,186,1000,
Vei,2,Viken,E16 Eggemoen–Jevnaker–Olum,Binding,139,,409
Jbane,3,Rogaland,Jærbanen trinn 1: Fire tog/t Stavanger–Ganddal,Binding,278,,
Jbane,3,Vestfold og Telemark,Togparkering Vestfoldbanen,Tiltak for referanse2,2068,,
Jbane,3,Vestfold og Telemark og Viken,Dobbeltspor Nykirke–Barkåker og Drammen–Kobbervikdalen,Binding,11320,,
Vei,3,Vestfold og Telemark,E18 Bommestad–Sky,Binding,10,,
Vei,3,Agder,E18 Grimstad–Kristiansand,Binding (OPS),1922,1480,
Vei,3,Agder,E39 Lyngdal–Flekkefjord,Binding (OPS),941,632,
Vei,3,Viken,E18 Lysaker–Ramstadsletta,Binding,2700,1235,10700
Vei,3,Rogaland,Rv. 509 Sør-Tjora–Kontinentalvegen,Binding,,,606
Vei,4,Møre og Romsdal,E39 Ørskogfjellet,Binding,14,,
Vei,4,Vestland,"Rv. 13 Hardangerbrua, alt. bruk av ferjetilskudd",Binding,30,10,
Vei,4,Trøndelag,E39 Klett–Bårdhaug,Binding (OPS),817,262,
Vei,4,Rogaland,E39 Rogfast,Binding,5650,2470,10955
Vei,4,Vestland,E39 Svegatjørn–Rådal,Binding,574,,37
Vei,4,Vestland,Rv. 555 Sotrasambandet,Binding (OPS),5889,650,2150
Vei,4,Møre og Romsdal,E39 Lønset–Hjelset,Binding,511,,305
Vei,4,Trøndelag,E39 Betna–Vinjeøra–Stormyra,Binding,1528,,
Vei,4,Vestland,E39 Myrmel–Lunde,Binding,404,,
Jbane,5,Vestland,Ulriken tunnel (dobbeltspor Arna–Fløen),Binding,774,,
Vei,5,Viken,E134 Damåsen–Saggrenda,Binding,107,,8
Vei,5,Vestfold og Telemark,Rv. 36 Bø–Seljord,Binding,,,84
Vei,5,Viken,E16 Bjørum–Skaret,Binding,1500,291,1790
Vei,5,Innlandet,E16 Kvamskleiva,Binding,332,,
Vei,5,Vestland,Rv. 5 Kjøsnesfjorden,Binding,347,,
Jbane,6,Innlandet,Tilbudsforbedringer på Gjøvikbanen,Binding,317,,
Jbane,6,Innlandet,Togparkering Dovrebanen,Binding,504,,
Jbane,6,Viken,Dobbeltspor Venjar–Eidsvoll–Langset,Binding,2670,,
Jbane,6,Innlandet,Dobbeltspor Kleverud–Sørli,Binding,6334,370,
Vei,6,Trøndelag,E6 Vindåsliene–Korporalsbrua,Binding,210,,
Vei,6,Trøndelag,"Rv. 706 Nydalsbrua med tilknytninger, refusjon",Binding,,787,
Vei,6,Innlandet,Rv. 3/rv. 25 Ommangsvollen–Grundset/Basthjørnet,Binding (OPS),341,180,1290
Vei,6,Viken,Rv. 4 Roa–Gran grense inkl. Jaren–Amundrud/Almenningsdelet–Lygnebakken,Binding,328,,1270
Vei,6,Trøndelag,Rv. 706 Nydalsbrua med tilknytninger,Binding,113,,465
Jbane,7,Trøndelag,"Trønder- og Meråkerbanen: Elektrifisering, togparkering og plattformer",Binding,1853,,
Vei,7,Nordland,E6 Helgeland sør (uten opsjonsstrekninger),Binding,1363,,
Vei,8,Nordland,E6 Hålogalandsbrua,Binding,17,,
Vei,8,"Nordland, Troms og Finnmark",Hålogalandsveien (E10/rv. 85 Tjeldsund–Gullesfjordbotn–Langv.bukt) – forberedende arbeider,Binding (OPS),210,380,
Vei,8,Nordland,E6 Ballangen sentrum,Binding,25,,
Vei,8,Troms og Finnmark,E69 Skarvbergtunnelen,Binding,230,,
Jbane,U3,Flere,Ferdigstille diverse godstiltak,Binding,493,,
Jbane,U3,Flere,Infrastruktur for nytt togmateriell,Tiltak for referanse2,1105,,
Kollek.,U3,Oslo og Viken,Tilskudd Fornebubanen,50/50-prosjekt,6618,,
Kollek.,U3,Trøndelag,Tilskudd Metrobuss,50/50-prosjekt,990,191,
Kollek.,U3,Rogaland,Tilskudd Bussveien,50/50-prosjekt,4071,,
Kollek.,U3,Vestland,Tilskudd Bybanen til Fyllingsdalen,50/50-prosjekt,334,,
Jbane,0,Flere,Ny rutemodell Østlandet,Nye effektpakker,5593,4199,
Kyst,1,Viken,Borg havn,Innseiling,256,,
Vei,1,Viken,Rv. 22 Glommakryssing,Store prosjekt,795,572,1585
Vei,2,Viken,E18 Retvet–Vinterbro,Store prosjekt,1772,3000,2693
Jbane,3,Rogaland,Jærbanen trinn 2: Timinuttersintervall Stavanger–Skeiane,Nye effektpakker,175,62,
Jbane,3,Vestfold og Telemark,Ytre IC Vestfoldbanen: To tog/t Oslo–Skien,Nye effektpakker,1400,8700,
Kyst,3,Vestfold og Telemark,Torsbergrenna,Gjennomseiling,284,,
Kyst,3,Vestfold og Telemark,Kragerø,Innseiling,107,,
Vei,3,Viken,Rv. 19 Moss,Store prosjekt,400,2600,2000
Vei,3,Viken,Rv. 282 Holmenbrua,Store prosjekt,453,,453
Vei,3,Rogaland,E39 Ålgård–Hove,Store prosjekt,230,1529,2134
Vei,3,Viken,E134 Dagslett–E18,Store prosjekt,567,1420,1824
Vei,3,Agder,E18/E39 Gartnerløkka–Kolsdalen,Store prosjekt,1320,,1990
Vei,3,Rogaland,Rv. 42 Gamle Eigerøyveien–Hovlandsveien,Utbedringsprosjekt,337,,
Vei,3,Viken,"E134 Oslofjordforbindelsen, byggetrinn 2",Store prosjekt,1739,,3092
Vei,3,Rogaland,Rv. 509 Kontinentalveien–Sundekrossen,Store prosjekt,,,239
Kyst,4,Møre og Romsdal,Gjøsund,Forskuttering,63,42,
Kyst,4,Møre og Romsdal,Fosnavåg,Forskuttering,65,44,
Kyst,4,Møre og Romsdal,Røyrasundet–Svædet,Farvannstiltak,125,,
Kyst,4,Vestland,Stad,Skipstunnel,2707,,
Vei,4,Vestland,E39 Ådland–Svegatjørn (Hordfast),Store prosjekt,1000,22322,14400
Vei,4,Møre og Romsdal,E39 Ålesund–Molde,Store prosjekt,2500,17840,4000
Vei,4,Møre og Romsdal,E39 Hjelset–Bjerkeset,Utbedringsprosjekt,500,,
Vei,4,Agder,Rv. 9 Setesdal,Utbedringsprosjekt,500,,
Vei,4,Møre og Romsdal,E39 Bergsøya–Øygarden,Utbedringsprosjekt,121,300,
Vei,4,Vestland,E39 Storehaugen–Førde,Store prosjekt,1300,1518,207
Vei,4,Møre og Romsdal,E39 Volda–Furene,Store prosjekt,300,406,306
Jbane,5,Vestland,Fra halvtimes- til kvartersintervall Arna-Bergen,Fullføre effektpakker,2590,,
Jbane,5,Vestland,Ny rutemodell Vossebanen,Nye effektpakker,363,1342,
Jbane,5,Flere,Kombitransport Oslo–Bergen1,Nye effektpakker,948,38,
Jbane,5,Viken,Ringeriksbanen (FRE16),Nye effektpakker,6552,18663,
Jbane,5,Vestland,Vossebanen (fellesprosjekt med vei),Nye effektpakker,2300,10394,
Vei,5,Vestfold og Telemark,Rv. 36 Skjelsvik–Skyggestein,Store prosjekt,200,2594,2500
Vei,5,"Viken, Vestfold og Telemark",E134 Saggrenda–Elgsjø,Store prosjekt,1234,,1000
Vei,5,Vestland,E134 Røldal–Seljestad,Store prosjekt,2535,,526
Vei,5,Viken,E16 Høgkastet–Hønefoss (FRE16),Store prosjekt,2400,3997,2876
Vei,5,Vestland,Rv. 5 Erdal–Naustdal,Skred,508,1599,
Vei,5,Vestfold og Telemark,Rv. 41 Treungen–Vrådal,Utbedringsprosjekt,263,,
Vei,5,Vestland,E16 Hylland–Slæen,Skred,1502,,
Vei,5,Vestland,E16 Arna–Stanghelle (fellesprosjekt med jernbane),Skred,4300,7187,2200
Vei,5,Rogaland,E134 Helganeskrysset–arm Husøy,Utbedringsprosjekt,130,,
Vei,5,Rogaland,Rv. 13 Lovraeidet–Rødsliane,Skred,200,696,
Vei,5,Viken,Rv. 52 Gol–Vestland grense,Utbedringsprosjekt,453,,
Vei,5,Viken,Rv. 7 Ørgenvika–Svenkerud,Utbedringsprosjekt,500,300,
Jbane,6,Flere,Kombitransport Oslo–Trondheim2,Nye effektpakker,1082,,
Jbane,6,Innlandet,Indre IC Dovrebanen: To tog/t Oslo-Hamar,Fullføre effektpakker,5508,277,
Vei,6,Innlandet,Rv. 3 Østerdalen,Utbedringsprosjekt,553,500,
Vei,6,Møre og Romsdal,E136 Breivika–Lerstad (Bypakke Ålesund),Store prosjekt,445,,1578
Jbane,7,"Nordland, Trøndelag",Kombitransport Trondheim–Bodø1,Nye effektpakker,447,,
Jbane,7,Trøndelag,To tog/t på Trønderbanen,Fullføre effektpakker,1566,340,
Kyst,7,Nordland,Mo i Rana,Innseiling,114,,
Vei,7,Nordland,Rv. 80 Atkomst ny Bodø Lufthavn,Store prosjekt,274,,
Vei,7,Trøndelag,E6 Grong–Nordland,Utbedringsprosjekt,959,1958,
Vei,7,Nordland,Rv. 80 Sandvika–Sagelva,Utbedringsprosjekt,428,,
Luft,7,Nordland,Flytting av Bodø lufthavn,Annet,2850,,
Luft,7,Nordland,Ny lufthavn i Mo i Rana,Annet,1800,,
Kyst,8,Nordland,Andenes,Innseiling,440,,
Kyst,8,Nordland,Røst,Innseiling,165,,
Kyst,8,Troms og Finnmark,Gamvik,Forskuttering,43,29,
Kyst,8,Troms og Finnmark,Kamøyvær,Forskuttering,20,14,
Kyst,8,Troms og Finnmark,Senjahopen,Forskuttering,76,51,
Kyst,8,Troms og Finnmark,Engenes,Forskuttering,57,38,
Kyst,8,Troms og Finnmark,Vardø,Innseiling,65,135,
Kyst,8,Troms og Finnmark,Årviksand,Innseiling,67,,
Kyst,8,Troms og Finnmark,Kjøllefjord,Innseiling,208,,
Kyst,8,Nordland,Værøy,Innseiling,300,74,
Kyst,8,Troms og Finnmark,Leirpollen,Innseiling,109,,
Kyst,8,Nordland,Svolvær–Raftsundet,Farvannstiltak,143,,
Kyst,8,Nordland,Bognes–Tjeldsundet–Harstad,Farvannstiltak,284,,
Kyst,8,Svalbard,Longyearbyen,Havn,406,,
Vei,8,Troms og Finnmark,E45 Kløfta,Skred,1124,,
Vei,8,"Nordland, Troms og Finnmark",Hålogalandsveien (E10/rv. 85 Tjeldsund–Gullesfjordbotn–Langvassbukt),Store prosjekt (OPS),4660,3352,241
Vei,8,Troms og Finnmark,E8 Sørbotn–Laukslett,Store prosjekt,1961,,
Vei,8,Nordland,E6 Megården–Mørsvikbotn,Store prosjekt,9556,,
Vei,8,Nordland,E10 Nappstraumen–Å,Skred,170,1000,
Vei,8,Nordland,E6 Narviktunnelen,Store prosjekt,200,465,285
Vei,8,Troms og Finnmark,Utbedringsstrekninger rv. 94 (Mollstrand–Grøtnes og Akkarfjord–Jansvannet),Utbedringsprosjekt,990,,
Vei,8,Troms og Finnmark,E8 Flyplasstunnelen,Store prosjekt,50,630,1120
Jbane,U3,Flere,Bedre nettdekning,Nye effektpakker,2600,,
Jbane,U3,Flere,Kombitransport Oslo–Narvik via Sverige2,Nye effektpakker,865,1583,
Kollek./vei,U3/4,Vestland,Bybanen til Åsane (tilskudd) og E39 Fløyfjellstunnelen4,50/50-prosjekt/store prosjekt,2780,4926,
