"Tabell 12.2  Investeringsportefølje: prosjekter/effektpakker prioritert for oppstart 2022–2027, periodisering pr. mars 2021. Mill. kroner",,,,,,,
,,,,,,,
Sektor,Korr.,Fylke,Tiltak,Kategori,Stat_22–27,Stat_28–33,Bom_andre_22–33
Jbane,0,Flere,Ny rutemodell Østlandet,Nye effektpakker,5593,4199,
Kyst,1,Viken,Borg havn,Innseiling,256,,
Vei,1,Viken,Rv. 22 Glommakryssing,Store prosjekt,795,572,1585
Vei,2,Viken,E18 Retvet–Vinterbro,Store prosjekt,1772,3000,2693
Jbane,3,Rogaland,Jærbanen trinn 2: Timinuttersintervall Stavanger–Skeiane,Nye effektpakker,175,62,
Jbane,3,Vestfold og Telemark,Ytre IC Vestfoldbanen: To tog/t Oslo–Skien,Nye effektpakker,1400,8700,
Kyst,3,Vestfold og Telemark,Torsbergrenna,Gjennomseiling,284,,
Kyst,3,Vestfold og Telemark,Kragerø,Innseiling,107,,
Vei,3,Viken,Rv. 19 Moss,Store prosjekt,400,2600,2000
Vei,3,Viken,Rv. 282 Holmenbrua,Store prosjekt,453,,453
Vei,3,Rogaland,E39 Ålgård–Hove,Store prosjekt,230,1529,2134
Vei,3,Viken,E134 Dagslett–E18,Store prosjekt,567,1420,1824
Vei,3,Agder,E18/E39 Gartnerløkka–Kolsdalen,Store prosjekt,1320,,1990
Vei,3,Rogaland,Rv. 42 Gamle Eigerøyveien–Hovlandsveien,Utbedringsprosjekt,337,,
Vei,3,Viken,"E134 Oslofjordforbindelsen, byggetrinn 2",Store prosjekt,1739,,3092
Vei,3,Rogaland,Rv. 509 Kontinentalveien–Sundekrossen,Store prosjekt,,,239
Kyst,4,Møre og Romsdal,Gjøsund,Forskuttering,63,42,
Kyst,4,Møre og Romsdal,Fosnavåg,Forskuttering,65,44,
Kyst,4,Møre og Romsdal,Røyrasundet–Svædet,Farvannstiltak,125,,
Kyst,4,Vestland,Stad,Skipstunnel,2707,,
Vei,4,Vestland,E39 Ådland–Svegatjørn (Hordfast),Store prosjekt,1000,22322,14400
Vei,4,Møre og Romsdal,E39 Ålesund–Molde,Store prosjekt,2500,17840,4000
Vei,4,Møre og Romsdal,E39 Hjelset–Bjerkeset,Utbedringsprosjekt,500,,
Vei,4,Agder,Rv. 9 Setesdal,Utbedringsprosjekt,500,,
Vei,4,Møre og Romsdal,E39 Bergsøya–Øygarden,Utbedringsprosjekt,121,300,
Vei,4,Vestland,E39 Storehaugen–Førde,Store prosjekt,1300,1518,207
Vei,4,Møre og Romsdal,E39 Volda–Furene,Store prosjekt,300,406,306
Jbane,5,Vestland,Fra halvtimes- til kvartersintervall Arna-Bergen,Fullføre effektpakker,2590,,
Jbane,5,Vestland,Ny rutemodell Vossebanen,Nye effektpakker,363,1342,
Jbane,5,Flere,Kombitransport Oslo–Bergen1,Nye effektpakker,948,38,
Jbane,5,Viken,Ringeriksbanen (FRE16),Nye effektpakker,6552,18663,
Jbane,5,Vestland,Vossebanen (fellesprosjekt med vei),Nye effektpakker,2300,10394,
Vei,5,Vestfold og Telemark,Rv. 36 Skjelsvik–Skyggestein,Store prosjekt,200,2594,2500
Vei,5,"Viken, Vestfold og Telemark",E134 Saggrenda–Elgsjø,Store prosjekt,1234,,1000
Vei,5,Vestland,E134 Røldal–Seljestad,Store prosjekt,2535,,526
Vei,5,Viken,E16 Høgkastet–Hønefoss (FRE16),Store prosjekt,2400,3997,2876
Vei,5,Vestland,Rv. 5 Erdal–Naustdal,Skred,508,1599,
Vei,5,Vestfold og Telemark,Rv. 41 Treungen–Vrådal,Utbedringsprosjekt,263,,
Vei,5,Vestland,E16 Hylland–Slæen,Skred,1502,,
Vei,5,Vestland,E16 Arna–Stanghelle (fellesprosjekt med jernbane),Skred,4300,7187,2200
